name,address,phone,website
東京大学医学部附属病院,東京都文京区本郷7-3-1,03-3815-5411,https://www.h.u-tokyo.ac.jp/
国立がん研究センター中央病院,東京都中央区築地5-1-1,03-3542-2511,https://www.ncc.go.jp/jp/ncch/
聖路加国際病院,東京都中央区明石町9-1,03-3541-5151,https://hospital.luke.ac.jp/
慶應義塾大学病院,東京都新宿区信濃町35,03-3353-1211,https://www.hosp.keio.ac.jp/
虎の門病院,東京都港区虎ノ門2-2-2,03-3588-1111,https://toranomon.kkr.or.jp/
順天堂大学医学部附属順天堂医院,東京都文京区本郷3-1-3,03-3813-3111,https://www.juntendo.ac.jp/hospital/
日本赤十字社医療センター,東京都渋谷区広尾4-1-22,03-3400-1311,https://www.med.jrc.or.jp/
東京医科大学病院,東京都新宿区西新宿6-7-1,03-3342-6111,https://hospinfo.tokyo-med.ac.jp/
東京女子医科大学病院,東京都新宿区河田町8-1,03-3353-8111,https://www.twmu.ac.jp/DNH/
昭和大学病院,東京都品川区旗の台1-5-8,03-3784-8000,https://www.showa-u.ac.jp/SUH/
東邦大学医療センター大森病院,東京都大田区大森西6-11-1,03-3762-4151,https://www.omori.med.toho-u.ac.jp/
帝京大学医学部附属病院,東京都板橋区加賀2-11-1,03-3964-1211,https://www.teikyo-hospital.jp/
日本大学病院,東京都千代田区神田駿河台1-6,03-3293-1711,https://www.nihon-u.ac.jp/hospital/
東京慈恵会医科大学附属病院,東京都港区西新橋3-19-18,03-3433-1111,https://www.hosp.jikei.ac.jp/
杏林大学医学部付属病院,東京都三鷹市新川6-20-2,0422-47-5511,https://www.kyorin-u.ac.jp/hospital/
東京都立多摩総合医療センター,東京都府中市武蔵台2-8-29,042-323-5111,https://www.fuchu-hp.fuchu.tokyo.jp/
東京都立墨東病院,東京都墨田区江東橋4-23-15,03-3633-6151,https://www.byouin.metro.tokyo.lg.jp/sumida/
NTT東日本関東病院,東京都品川区東五反田5-9-22,03-3448-6111,https://www.ntt-east.co.jp/kmc/
